Identifier,Title,Implementation Applicable (Y/N),Non Applicability Rationale,Description from ISM
ISM-1997,Board defines cyber security roles,N,,The board of directors or executive committee defines clear roles and responsibilities for cyber security both within the board of directors or executive committee and broadly within their organisation.
ISM-1998,Board integrates cyber security across business,N,,The board of directors or executive committee ensures that cyber security is integrated throughout all business functions within their organisation.
ISM-1999,Cyber strategy aligned with business strategy,N,,The board of directors or executive committee ensures the cyber security strategy for their organisation is aligned with the overarching strategic direction and business strategy for their organisation.
ISM-2000,Board receives regular cyber posture briefings,N,,"The board of directors or executive committee seeks regular briefings or reporting on the cyber security posture of their organisation, as well as the threat environment in which they operate, from internal and external subject matter experts."
ISM-2001,Board champions positive cyber security culture,N,,"The board of directors or executive committee champions a positive cyber security culture within their organisation, including through leading by example."
ISM-2002,Board maintains cyber security literacy,N,,The board of directors or executive committee maintains a sufficient level of cyber security literacy to fulfil both their fiduciary duties and any legislative or regulatory obligations.
ISM-2003,Board monitors cyber recruitment and skills gaps,N,,"The board of directors or executive committee maintains awareness of key cyber security recruitment activities, retention rates for cyber security personnel, and cyber security skills and experience gaps within their organisation."
ISM-2004,Board supports cyber security training for personnel,N,,The board of directors or executive committee supports the development of cyber security skills and experience for all personnel via internal and external cyber security awareness raising and training opportunities.
ISM-2005,Board understands business-critical systems,N,,"The board of directors or executive committee understands the business criticality of their organisation’s systems, including at least a basic understanding of what exists, their value, where they reside, who has access, who might seek access, how they are protected, and how that protection is verified."
ISM-2006,Board plans for major cyber incidents,N,,"The board of directors or executive committee plans for major cyber security incidents, including by participating in exercises, and understand their duties in relation to such cyber security incidents."
ISM-0714,CISO appointed for cyber leadership,N,,A CISO is appointed to provide cyber security leadership and guidance for their organisation (covering information technology and operational technology).
ISM-1478,CISO oversees cyber program and compliance,N,,"The CISO oversees their organisation’s cyber security program and ensures their organisation’s compliance with cyber security policy, standards, regulations and legislation."
ISM-1617,CISO regularly updates cyber program,N,,The CISO regularly reviews and updates their organisation’s cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.
ISM-1966,CISO maintains register of systems,N,,"The CISO develops, implements, maintains and verifies on a regular basis a register of systems used by their organisation."
ISM-0724,CISO implements cyber KPIs and metrics,N,,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.
ISM-0725,CISO runs cyber steering committee,N,,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis."
ISM-0726,CISO coordinates security risk management,N,,The CISO coordinates security risk management activities between cyber security and business teams.
ISM-0718,CISO reports to board on cyber matters,N,,The CISO regularly reports directly to their organisation’s board of directors or executive committee on cyber security matters.
ISM-1918,CISO reports to audit/risk/compliance committee,N,,"The CISO regularly reports directly to their organisation’s audit, risk and compliance committee (or equivalent) on cyber security matters."
ISM-0733,CISO aware of all cyber incidents,N,,The CISO is fully aware of all cyber security incidents within their organisation.
ISM-1618,CISO oversees incident response,N,,The CISO oversees their organisation’s response to cyber security incidents.
ISM-0734,CISO contributes to business continuity planning and disaster recovery plans,N,,"The CISO contributes to the development, implementation and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster."
ISM-0720,CISO oversees cyber communications strategy,N,,"The CISO oversees the development, implementation and maintenance of a cyber security communications strategy to assist in communicating the cyber security vision and strategy for their organisation."
ISM-0731,CISO manages cyber supply chain risk,N,,The CISO oversees cyber supply chain risk management activities for their organisation.
